ALLKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.290
ALLKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),4.660
ALLKOF,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.510
ALLKOG,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.650
ALLKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.865
ALLKOS,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.210
ALLKOU,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.200
ALLKOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.800
ALLSMY,MACQUARIE BANK LIMITED.,0.930
ALQ,ALS LIMITED,5.850
ALQKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.400
ALQKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.970
ALQKOF,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.575
ALQKOH,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.290
ALQKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.250
ALQKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.600
ALQKOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.930
ALQKOS,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
ALR,ABERDEEN LEADERS LIMITED                                    ,1.120
ALT,ANALYTICA LIMITED,0.011
ALU,ALTIUM LIMITED                                              ,4.430
ALY,ALCHEMY RESOURCES LIMITED,0.024
AMA,AMA GROUP LIMITED,0.600
AMB,AMBITION GROUP LIMITED,0.145
AMC,AMCOR LIMITED,13.720
AMCDSQ,UBS AG,-
AMCIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),8.490
AMCISI,UBS AG,-
AMCIYA,COMMONWEALTH BANK OF AUSTRALIA.                             ,10.410
AMCIYB,COMMONWEALTH BANK OF AUSTRALIA.                             ,8.060
AMCIYE,COMMONWEALTH BANK OF AUSTRALIA.                             ,-
AMCIYF,COMMONWEALTH BANK OF AUSTRALIA.                             ,6.300
AMCKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.010
AMCKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),5.930
AMCKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.420
AMCKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AMCKOS,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.460
AMCKOT,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.380
AMCSOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),7.690
AMCSS1,UBS AG,1.980
AMCSSA,UBS AG,-
AMCSSM,UBS AG,-
AMCSSN,UBS AG,-
AMCSSO,UBS AG,-
AMCSSP,UBS AG,-
AMCSSV,UBS AG,2.740
AMCSWG,WESTPAC BANKING CORPORATION                                 ,9.000
AMCSWR,WESTPAC BANKING CORPORATION                                 ,8.020
AMCSZX,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,7.640
AMH,AMCIL LIMITED,0.900
AMI,AURELIA METALS LIMITED,0.215
AMM,AMCOM TELECOMMUNICATIONS LIMITED,2.600
AMN,AGRIMIN LIMITED,0.200
AMO,AMBERTECH LIMITED,0.135
AMP,AMP LIMITED                                                 ,6.020
AMPDSN,UBS AG,-
AMPDSQ,UBS AG,-
AMPHA,AMP LIMITED                                                 ,101.796
AMPIOL,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AMPIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),4.130
AMPIOZ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.520
AMPISA,UBS AG,0.760
AMPISI,UBS AG,-
AMPIYA,COMMONWEALTH BANK OF AUSTRALIA.                             ,4.230
AMPIYB,COMMONWEALTH BANK OF AUSTRALIA.                             ,3.200
AMPIYE,COMMONWEALTH BANK OF AUSTRALIA.                             ,3.150
AMPIYF,COMMONWEALTH BANK OF AUSTRALIA.                             ,2.580
AMPJOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AMPJOF,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.845
AMPJOJ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.060
AMPJOK,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.080
AMPJRB,THE ROYAL BANK OF SCOTLAND PLC,0.950
AMPKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AMPKOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.400
AMPKOF,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AMPKOJ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.950
AMPKOM,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.975
AMPKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.190
AMPKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.580
AMPKOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.880
AMPKOU,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.735
AMPKOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.190
AMPLOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.555
AMPLOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.005
AMPLOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.485
AMPLOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.600
AMPLOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.130
AMPLOS,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.650
AMPLOU,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.125
AMPLOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.235
AMPSMB,MACQUARIE BANK LIMITED.,1.190
AMPSMC,MACQUARIE BANK LIMITED.,1.570
AMPSMX,MACQUARIE BANK LIMITED.,2.810
AMPSMY,MACQUARIE BANK LIMITED.,0.365
AMPSOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.750
AMPSOF,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.830
AMPSOG,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.750
AMPSRT,THE ROYAL BANK OF SCOTLAND PLC,4.220
AMPSSA,UBS AG,3.000
AMPSSM,UBS AG,0.615
AMPSSN,UBS AG,-
AMPSSP,UBS AG,0.580
AMPSSR,UBS AG,1.575
AMPSSV,UBS AG,0.325
AMPSWB,WESTPAC BANKING CORPORATION                                 ,5.460
AMPSWC,WESTPAC BANKING CORPORATION                                 ,1.850
AMPSWD,WESTPAC BANKING CORPORATION                                 ,0.021
AMPSWG,WESTPAC BANKING CORPORATION                                 ,3.690
AMPSWH,WESTPAC BANKING CORPORATION                                 ,2.980
AMPSWR,WESTPAC BANKING CORPORATION                                 ,-
AMPSZB,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,1.860
AMPSZD,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,3.180
AMPSZW,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,2.020
AMPSZX,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,4.310
AMT,ALLEGRA ORTHOPAEDICS LIMITED,0.265
ANB,AUSTRALIA NEW AGRIBUSINESS & CHEMICAL GROUP LTD,0.100
ANG,AUSTIN ENGINEERING LIMITED,0.525
ANI,AUSTRALIAN INDUSTRIAL REIT,2.280
ANN,ANSELL LIMITED                                              ,24.090
ANNKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
ANNKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.120
ANNKOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.430
ANNSWG,WESTPAC BANKING CORPORATION                                 ,10.730
ANNSWR,WESTPAC BANKING CORPORATION                                 ,14.380
ANO,ANTARIA LIMITED,0.031
ANP,ANTISENSE THERAPEUTICS LIMITED                              ,0.115
ANQ,ANAECO LIMITED,0.004
ANR,ANATARA LIFESCIENCES LTD,1.000
ANVHA,AUSNET SERVICES HOLDINGS PTY LTD,-
ANVHB,AUSNET SERVICES HOLDINGS PTY LTD,-
ANVHC,AUSNET SERVICES HOLDINGS PTY LTD,-
ANVHD,AUSNET SERVICES HOLDINGS PTY LTD,-
ANW,AUS TIN MINING LTD,0.005
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,32.200
